country,question,answer
All,"Can I change my payment method?","Yes, you can change your payment method by updating your bank details in the app's settings. Please ensure your new details are correct to avoid payment delays."
All,"What if my car breaks down?","You are responsible for your own vehicle maintenance and repairs. Contact iDelivery support immediately so they can reassign the order to another courier."
All,"What if I have an emergency?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order and provide you with further instructions."
All,"What if I get a flat tire?","You are responsible for your own vehicle repairs. Contact iDelivery support immediately so they can reassign the order to another courier and prevent a negative customer experience."
All,"Can I work on holidays?","Yes, you can work on holidays. Some holidays may have higher demand, and iDelivery may offer bonus payments to couriers working on these days."
All,"What if a customer has a large dog?","Do not approach an aggressive or large dog. Contact the customer to have them secure the dog before you make the delivery to ensure your safety."
All,"Do I need to check ID for alcohol?","Yes, it is a legal requirement in all countries to check a valid ID to verify the age of the customer before completing an alcohol delivery."
All,"What if the customer's address is a public building?","Contact the customer to confirm their exact location within the building and to arrange a meeting point. This is crucial for a successful delivery."
All,"How do I handle a cash order?","The app will clearly specify if the order is cash. You must collect the correct amount from the customer and mark the order as paid in the app."
All,"What if a customer gives me the wrong PIN?","If the customer gives you the wrong PIN, you must contact iDelivery support immediately to verify the correct one and ensure a secure completion of the order."
All,"What if the restaurant is closed?","Take a photo of the closed restaurant and contact iDelivery support. They will cancel the order, and you will receive a partial payment as compensation."
All,"What if the food is spilled?","Take a photo of the spilled food and contact iDelivery support. They will provide instructions on how to proceed, which may include cancelling the order."
All,"What if a customer reports a missing item?","You should advise the customer to contact iDelivery customer support directly. You are not responsible for the contents of the bag once it's been sealed by the restaurant."
All,"Can I work with an expired driver's license?","No, you must have a valid and current driver's license for your vehicle type. Driving with an expired license is illegal and can lead to serious consequences."
All,"What if I can't find the restaurant?","Use the in-app navigation and contact the restaurant directly for directions if needed. You can also contact iDelivery support if you are still having trouble locating it."
All,"What if a customer's contact number is wrong?","Contact iDelivery support immediately. They will have access to the correct contact information and can help you get in touch with the customer to complete the delivery."
All,"Can I deliver to a different address than the one on the app?","No, you must deliver to the address specified in the app. If the customer wants to change the address, they must do so through customer service."
All,"What is the maximum distance for a delivery?","The maximum distance is determined by the app's algorithm. It is designed to be a reasonable distance for the vehicle type you are using."
All,"What if a customer is rude or aggressive?","Remain calm and professional. If you feel unsafe, leave the location and report the issue to iDelivery support. Your safety is the top priority."
All,"Can I get a new delivery bag?","You can order a new iDelivery-branded delivery bag through the courier app or the website. A fee may be required for a replacement."
All,"How do I get paid?","Payments are typically made on a weekly basis and are transferred directly to the bank account you registered with iDelivery."
All,"What if I have a question about my tax filing?","iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. You are responsible for the delivery."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a certain amount of time."
All,"Can I deliver with a friend?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for liability and accountability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours for food delivery are typically mealtimes (lunch and dinner). Working on weekends and holidays is also often the most profitable."
All,"What if a customer gives me a low rating?","A low rating on its own won't have a significant impact. However, a consistent pattern of low ratings could be reviewed by the company."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They will be able to track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time and ensuring all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and understand the company's accident policy."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond after the time limit, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order to another courier, and you will be responsible for your vehicle's fuel."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building (e.g., hospital, school)?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents. Your responsibility is to deliver the order as it was provided."
All,"The customer is asking for my full name.","You can provide your first name, but do not give out your full name or any other personal information for privacy reasons."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
